Nama,Alamat,Long,Lang,Tipe,Deskripsi
Stasiun Kereta Api Tanjung Priok,Jakarta Utara,-6.11092,106.88073,stasiun,Stasiun ini terletak di jalur KA Commuter Jabodetabek
Stasiun Kereta Api Kampung Bandan,Jakarta Utara,-6.13291,106.82842,stasiun,Stasiun ini terletak di jalur KA Commuter Jabodetabek
Terminal Pulogadung,Jakarta Timur,-6.18367,106.90811,terminal,"Terminal Terpadu Pulo Gadung adalah terminal bus yang berada di Jalan Perintis Kemerdekaan dan Jalan Bekasi Raya dan berada di kawasan Pulo Gadung, Jakarta Timur. Di sini terdapat pangkalan Bus AKAP, Metromini, Angkot, dan Mikrolet. Angkutan umum Jakarta"
Terminal Kampung Rambutan,Jakarta Timur,-6.30948,106.8821,terminal,"Di sini terdapat pangkalan Bus AKAP, Metromini, Angkot, dan Mikrolet. Angkutan umum Jakarta"
Terminal Kampung Melayu,Jakarta Timur,-6.22476,106.86683,terminal,"Di sini terdapat pangkalan Metromini, Angkot, dan Mikrolet. Angkutan umum Jakarta"
Terminal Rawamangun,Jakarta Timur,-6.19763,106.89089,terminal,"Di sini terdapat pangkalan Bus AKAP, Metromini, Angkot, dan Mikrolet. Angkutan umum Jakarta"
Terminal Pulogebang,Jakarta Timur,-6.21924,106.95667,terminal,"Di sini terdapat pangkalan Metromini, Angkot, dan Mikrolet. Angkutan umum Jakarta"
Terminal Cililitan,Jakarta Timur,-6.2632,106.86641,terminal,"Di sini terdapat pangkalan Metromini, Angkot, dan Mikrolet. Angkutan umum Jakarta"
Terminal Pinang Ranti,Jakarta Timur,-6.290161,106.881174,terminal,"Di sini terdapat pangkalan Metromini, Angkot, dan Mikrolet. Angkutan umum Jakarta"
Terminal Blok M,Jakarta Selatan,-6.24344,106.80218,terminal,"Di sini terdapat pangkalan Bus AKAP, Metromini, Angkot, dan Mikrolet. Angkutan umum Jakarta"
Terminal Manggarai,Jakarta Selatan,-6.211962,106.844396,terminal,"Di sini terdapat pangkalan Metromini, Angkot, dan Mikrolet. Angkutan umum Jakarta"
Terminal Lebak Bulus,Jakarta Selatan,-6.28944,106.77399,terminal,"Di sini terdapat pangkalan Bus AKAP, Metromini, Angkot, dan Mikrolet. Angkutan umum Jakarta"
Terminal Pasar Minggu,Jakarta Selatan,-6.28527,106.84387,terminal,"Di sini terdapat pangkalan Metromini, Angkot, dan Mikrolet. Angkutan umum Jakarta"
Terminal Kalideres,Jakarta Barat,-6.154497,106.708754,terminal,"Di sini terdapat pangkalan Bus AKAP, Metromini, Angkot, dan Mikrolet. Angkutan umum Jakarta"
Terminal Grogol,Jakarta Barat,-6.166406,106.790349,terminal,"Di sini terdapat pangkalan Metromini, Angkot, dan Mikrolet. Angkutan umum Jakarta"
Terminal Senen,Jakarta Pusat,-6.17343,106.84201,terminal,"Di sini terdapat pangkalan Bus AKAP, Metromini, Angkot, dan Mikrolet. Angkutan umum Jakarta"
Terminal Tanah Abang,Jakarta Pusat,-6.188438,106.813542,terminal,"Di sini terdapat pangkalan Metromini, Angkot, dan Mikrolet. Angkutan umum Jakarta"
Terminal Tanjung Priok,Jakarta Utara,-6.109611,106.881362,terminal,"Di sini terdapat pangkalan Bus AKAP, Metromini, Angkot, dan Mikrolet. Angkutan umum Jakarta"
MASJID ISTIQLAL,Jakarta Pusat,-6.170166,106.831376,wisata,Masjid Istiqlal adalah masjid negara Republik Indonesia yang terletak di pusat ibukota Jakarta. Masjid Istiqlal merupakan masjid terbesar di Asia Tenggara.
MONUMEN NASIONAL (MONAS),Jakarta Pusat,-6.175396,106.827103,wisata,Monumen Nasional atau yang populer disingkat dengan Monas atau Tugu Monas adalah monumen peringatan setinggi 132 meter (433 kaki) yang didirikan untuk mengenang perlawanan dan perjuangan rakyat Indonesia untuk merebut kemerdekaan dari pemerintahan kolonial Hindia Belanda. 
TAMAN ISMAIL MARZUKI (TIM),Jakarta Pusat,-6.189006,106.838151,wisata,"Pusat Kesenian Jakarta Taman Ismail Marzuki yang populer disebut Taman Ismail Marzuki (TIM) merupakan sebuah pusat kesenian dan kebudayaan yang berlokasi di jalan Cikini Raya 73, Jakarta Pusat. Di sini terletak Institut Kesenian Jakarta dan Planetarium Jakarta. Selain itu, TIM juga memiliki enam teater modern, balai pameran, galeri, gedung arsip, dan bioskop."
GELANGGANG OLAH RAGA BUNG KARNO,Jakarta Pusat,-6.21827,106.8018,wisata,"Stadion Utama Gelora Bung Karno adalah sebuah stadion serbaguna di Jakarta, Indonesia yang merupakan bagian dari kompleks olahragaGelanggang Olahraga Bung Karno. Stadion ini umumnya digunakan sebagai arena pertandingan sepak bola tingkat internasional. "
KEBUN BINATANG RAGUNAN,Jakarta Selatan,-6.30929,106.82037,wisata,"Kebun Binatang Ragunan adalah sebuah kebun binatang yang terletak di daerah Ragunan, Pasar Minggu, Jakarta Selatan, Indonesia. Kebun binatang seluas 140 hektar ini didirikan pada tahun 1864. Di dalamnya, terdapat berbagai koleksi yang terdiri dari 295 spesies dan 4040 spesimen."
TAMAN MINI INDONESIA INDAH,Jakarta Selatan,-6.30221,106.89516,wisata,"Taman ini merupakan rangkuman kebudayaan bangsa Indonesia, yang mencakup berbagai aspek kehidupan sehari-hari masyarakat 26 provinsi Indonesia (pada tahun 1975) yang ditampilkan dalam anjungan daerah berarsitektur tradisional, seta menampilkan aneka busana, tarian, dan tradisi daerah. Di samping itu, di tengah-tengah TMII terdapat sebuah danau yang menggambarkan miniatur kepulauan Indonesia di tengahnya, kereta gantung, berbagai museum, dan Teater IMAX Keong Mas dan Teater Tanah Airku), berbagai sarana rekreasi ini menjadikan TMIII sebagai salah satu kawasan wisata terkemuka di ibu kota."
SITU PEDONGKELAN,Jakarta Timur,-6.3497,106.85656,wisata,Wisata danau dan pemancingan di perbatasan Jakarta dengan Depok.
Taman Impian Jaya Ancol,"Jalan Pantai Indah, Indonesia",-6.12353,106.83187,wisata,Taman Impian Jaya Ancol merupakan sebuah objek wisata di Jakarta Utara. Sebagai komunitas pembaharuan kehidupan masyarakat yang menjadi kebanggaan bangsa. 
Museum Wayang,Jakarta Barat,-6.13488,106.81271,wisata,"Museum Wayang memamerkan berbagai jenis dan bentuk wayang dari seluruh Indonesia, baik yang terbuat dari kayu dan kulit maupun bahan-bahan lain. Wayang-wayang dari luar negeri ada juga di sini, misalnya dari Republik Rakyat Cina dan Kamboja. Hingga kini Museum Wayang mengkoleksi lebih dari 4.000 buah wayang, terdiri atas wayang kulit, wayang golek, wayang kardus, wayang rumput, wayang janur, topeng,boneka, wayang beber dan gamelan. "
Museum Sejarah Jakarta,Jakarta Barat,-6.13507,106.81328,wisata,"Museum Fatahillah yang juga dikenal sebagai Museum Sejarah Jakarta atau Museum Batavia adalah sebuah museum yang terletak di Jalan Taman Fatahillah No. 2, Jakarta Barat dengan luas lebih dari 1.300 meter persegi."
Museum Bahari,Jakarta Utara,-6.12671,106.80837,wisata,Museum Bahari adalah museum yang menyimpan koleksi yang berhubungan dengan kebaharian dan kenelayanan bangsa Indonesia dari Sabanghingga Merauke yang berlokasi di seberang 
Museum Seni Rupa dan Keramik,Jakarta Barat,-6.13389,106.81352,wisata,"Museum Seni Rupa dan Keramik terletak di Jalan Pos Kota No 2, Kotamadya Jakarta Barat, Provinsi DKI Jakarta, Indonesia. Museum yang tepatnya berada di seberang Museum Sejarah Jakarta itu memajang keramik lokal dari berbagai daerah di Tanah Air, dari era Kerajaan Majapahitabad ke-14, dan dari berbagai negara di dunia."
Situ Babakan,Jakarta Selatan,-6.34172,106.82384,wisata,"Masyarakat di wilayah ini mengembangkan usaha pertanian dan perikanan sekaligus membnatu dalam usaha penghijauan wilayah Situ Babakan. Selain itu di daerah ini dapat disaksikan pula keseharian masyarakat setempat seperti budidaya ikan dalam keramba yang terdapat di sepanjang pinggiran situ, pemancingan, bercocok tanam, perdagangan, pembuatan kerajinan tangan serta pembuatan makanan khas Betawi seperti dodol Betawi dan Bir pletok. Selain itu di daerah ini juga sering diselenggarakan acara keseniah daerah Betawi seperti Tari Cokek, Tari Topeng, Lenong dan Ondel-ondel pada panggung terbuka setiap hari Sabtu dan Minggu. "
DUNIA FANTASI,Jakarta Utara,-6.123455,106.831859,wisata,"Dunia Fantasi atau disebut juga Dufan (juga disebut ""Do Fun"") yang diresmikan pada 29 Agustus 1985 adalah tempat hiburan yang terletak di kompleks Taman Impian Jaya Ancol (Ancol taman impian), Jakarta Utara, Indonesia."
Arion Swiss-Bel Kemang Jakarta,jakarta,-6.25615,106.81489,hotel,"It features a total of 94 elegantly appointed rooms. Each room is equipped with individual controlled air-conditioning, IDD telephone, broadband internet access, mini bar, safe deposit box that can fit a laptop, tea and coffee making facilities, hair dryer, 32” LCD TV with satellite and cable program. The presidential suite on the 7th floor is contemporary in design."
Aryaduta ,jakarta,-6.180974,106.837701,hotel,"Hotel Aryaduta is Indonesia's premier and leading hospitality group with a tradition of luxury, comfort, and style since 1974. Located in Indonesia's premier cities and preferred resort destinations, each hotel and resort provides an outstanding experience with high level of service, attention to detail and excellent cuisine. "
Aston At Kuningan Suites,jakarta,-6.207189,106.827415,hotel,"This elegant and sophisticated boutique style property includes service apartments at an affordable rate. Filled with four star comforts, Aston at Kuningan Suites offers cable TV, kitchenette, spacious balconies with beautiful views, air conditioned apartments, penthouse units, walk in wardrobe and ensuite bathrooms. "
Aston Marina,Jl. Lodan Raya No. 2A,-6.12912,106.82948,hotel, Aston Marina yang berada dekat kawasan Ancol dan pusat-pusat perbelanjaan ini tepat untuk Anda yang akan berlibur di Jakarta bersama keluarga.
Aston Pluit  & Residence,jakarta,-6.124415,106.795086,hotel,"The superb Aston Pluit is ideally located in the heart of Pluit and just 20 minutes from the international airport allowing easy access to all the main attractions in Jakarta for shopping and entertainment. The hotel offers rooms and suites with excellent views of the city skyline. Experience the best restaurants, entertainment, and shopping, as well as the city’s finest attractions. All are within easy walking distance in Pluit."
Borobudur  Jakarta,jakarta,-6.205053,106.760705,hotel,"Spanning across 23 acres of tropical gardens, 695 rooms with extensive recreational facilities, Hotel Borobudur Jakarta is truly a five-star. Located in central Jakarta, close to business districts, shopping malls and government offices, the hotel is about 30 minutes away from Soekarno-Hatta International Airport."
Desa Wisata TMII,jakarta,-6.305128,106.900781,hotel,"Desa Wisata memiliki 55 kamar dengan beragam pilihan mulai dari Superior Twin & Double, Cottages, hingga Pondokan yang cocok bagi pelajar & mahasiswa atau rombongan dengan daya tampung keseluruhan mencapai + 450 tamu dengan harga yang terjangkau. Bagi pengunjung yang ingin bersantai dan berekreasi beberapa hari di TMII, Desa Wisata Hotel merupakan tempat yang sangat ideal.    "
D'Prima ,jakarta,-6.133986,106.831926,hotel,"Semua kamar di d’primahotel termasuk tempat menginap yang nyaman untuk menikmati TV plasma 32?, internet Wi-Fi gratis di seluruh bagian hotel, Safety Deposit Box untuk mengamankan barang-barang berharga Anda, air mineral botol gratis, kopi, teh, dan mie instan, juga pemanas air sebagai pelengkap."
Ibis Budget Jakarta,jakarta,-6.192174,106.83901,hotel," Golden Triangle area, Gambir Train Station and Indonesia University. Featuring 150 rooms with a choice of either one queen bed or a queen and a single, ibis budget Jakarta Cikini is located on one of the most vibrant streets in central Jakarta, and offers great value accommodation in a colourful and contemporary style."
Fortuna ,jakarta,-6.14148,106.813652,hotel,"Jl. pintu besar selatan no.69 jakarta barat. dekat dengan st. kota dan gelodok, dari st gambir sekitar 15 menit"
Gran Melia  Jakarta,jakarta,-6.234171,106.83121,hotel,"Stunning architecture, a passionate commitment to outstanding service and completely rejuvenated facilities combine to make this iconic luxury international five star hotel the true benchmark for 21st century luxury in down town Jakarta Indonesia. "
Grand Hyatt Jakarta,Jalan Kebon Kacang Raya 30,-6.193846,106.822219,hotel,"Grand Hyatt Jakarta is a 5 star luxury hotel located in the heart of Jakarta business district. Our Jakarta hotel is adjacent to Indonesia's most comprehensive and sophisticated shopping mall, Plaza Indonesia, and enjoys convenient access to government offices, museums and Jakarta's cultural attractions. "
Grand Kemang  Jakarta,jakarta,-6.265955,106.820781,hotel,grandkemang hotel Jakarta welcomes you in an atmosphere that embraces individuality in every sense.
Grand Mahakam Jakarta,jakarta,-6.318391,106.884833,hotel,"Hotel Gran Mahakam is a five-star boutique hotel in Jakarta Selatan with distinctly European architecture, beautifully appointed rooms, attentive and friendly service."
Harris Tebet  Jakarta,jakarta,-6.22273,106.84744,hotel,Hotel Bintang 4
Horison Jakarta,"Jl. Pasir Putih Raya Ancol Pademangan
14430",-6.1207,106.838533,hotel,Indonesia's fastest growing chain of mid to up scales Business and Leisure 
Indonesia Kempinski,Jalan Kebon Kacang Raya No.1,-6.195478,106.822232,hotel,Hotel Bintang 5
Jatra ,Jakarta,-6.136432,106.804018,hotel,Hotel Bintang 3
JW Marriott  Jakarta,jakarta,-6.22732,106.82689,hotel,Hotell Bintang 5
Nikko Jakarta,Jalan Kebon Kacang Raya No.59,-6.193515,106.823659,hotel,Hotell Bintang 2
Pancoran Jaya,Jakarta,-6.141259,106.814068,hotel,Hotell Bintang 3
Putri Duyung Ancol,"Jl. Lodan Timur No.7
Jakarta Utara 14430, Indonesia",-6.12156,106.840426,hotel,Hotel Indah di tepi pantai
Raddin Ancol,"Jalan Lodan Timur No. 7 Taman Impian Jaya Ancol
14430",-6.12167,106.842057,hotel,292 nicely decorated and comfortable rooms makes  Raddin Ancol one of Jakarta's favourite weekend retreats and the ideal family resort  in Jakarta.
Santika Premiere Jakarta,jakarta,-6.19794,106.80257,hotel,Hotel Bintang 3
The Batavia ,jakarta,-6.13192,106.81032,hotel,Hotel Bintang 3
The Ritz-Carlton Jakarta Pacific Place ,jakarta,-6.223833,106.810042,hotel,Hotel Bintang 3
Makassar Mulia,jakarta,-6.33851,106.84194,hotel,Hotel Bintang 3
Bintang Kejora,jakarta,-6.182502,106.827323,hotel,Hotel Bintang 3
Banyuwangi Sintara,jakarta,-6.161793,106.831285,hotel,Hotel Bintang 3
Mataram,jakarta,-6.160806,106.820368,hotel,Hotel Bintang 3
Mitra Bahari,jakarta,-6.127522,106.808001,hotel,Hotel Bintang 3
Favehotel Pluit Junction,jakarta,-6.126404,106.791272,hotel,Hotel Bintang 3
Le Meridien,jakarta,-6.213346,106.818724,hotel,Hotel Bintang 3
Intercontinental,jakarta,-6.208928,106.819357,hotel,Hotel Bintang 3
R Residence,jakarta,-6.3018,106.7932,hotel,Hotel Bintang 3
Bukit Indah,jakarta,-6.29447,106.78599,hotel,Hotel Bintang 3
Pondok Club Vila,jakarta,-6.29378,106.78499,hotel,Hotel Bintang 3
Hill Side Grand Puri,jakarta,-6.3113,106.80377,hotel,Hotel Bintang 3
Pizza Hut,"JL. Pantai Indah Pademangan - North Jakarta Taman Pantai, 14430",-612468,106.84706,restoran,Pizza Center a la Italia
Sunda Kelapa Restaurant,Jl. Ancol Barat 4 No. 28-29 Ancol Pademangan Jakarta Utara DKI Jakarta,-612265,106.81257,restoran,Menyajikan aneka masakan khas Jakarta
Warnas Khas Sunda E'heti,"Ancol, Jakarta Utara",-612680,106.85863,restoran,Masakan Sunda
Bandar Djakarta,"Ancol, Jakarta Utara",-6.12275,106.843776,restoran,Restoran Bandar Djakarta dengan konsep garden view yang menyediakan lebih banyak lesehan sehingga para pengunjung dapat bersantai dan nyaman.
Segarra Seaside Escape,"Ancol, Jakarta Utara",-6.11598,106.85884,restoran,"Sebuah restoran yang terletak di pantai Carnaval Ancol Jakarta Baycity, Segarra lebih indah dengan pemandangan laut"
Le Bridge,"Ancol, Jakarta Utara",-6.12393,106.84307,restoran,"Le Bridge yang terletak di Taman Impian Jaya Ancol terlihat sebagai resto yang mewah, sampai suatu saat kita mencobanya karena rasa penasaran"
Rumah Makan Iyo Bana Kapau,"Komplek Marinatama Blok E No.5,",-6.133928,106.8328,restoran,Masakan Padang
Crapoe,Jakarta,-6.133530,106.832361,restoran,Masakan Perancis
Rasane Seafood & Ikan Bakar,Jakarta,-6.121900,106.84545,restoran,Seafood Center
Rumah Makan Senang Hati,Jakarta,-6.139189,106.812552,restoran,Rumah Makan
Rumah Makan Panggang Ayam Malang,Jakarta,-6.139800,106.81521,restoran,Rumah Makan
Warung Pempek Palembang,Jakarta,-6.140725,106.811635,restoran,Rumah Makan
Kedai Nasi Aneka Sari,Jakarta,-6.139205,106.810106,restoran,Rumah Makan
Warteg Bahari,Jakarta,-6.134461,106.810833,restoran,Rumah Makan
Bakmi Hokkian,Jakarta,-6.160097,106.819531,restoran,Rumah Makan
I-Tasuki,Jakarta,-6.122879,106.791409,restoran,Rumah Makan
Sate Pluit,Jakarta,-6.122415,106.790041,restoran,Rumah Makan
Sovia Minang,Jakarta,-6.128111,106.792621,restoran,Rumah Makan
Ampera,Jakarta,-6.162894,106.76633,restoran,Rumah Makan
Warteg Sariwat,Jakarta,-6.161758,106.766998,restoran,Rumah Makan
Tiga Puluh,Jakarta,-6.213085,106.818764,restoran,Rumah Makan
Bakmi 88,Jakarta,-6.211394,106.817442,restoran,Rumah Makan
Java Bean,Jakarta,-6.210573,106.818394,restoran,Rumah Makan
Soul'Id,Jakarta,-6.296597,106.790092,restoran,Rumah Makan
Gule Kepala Ikan Mas,Jakarta,-6.296653,106.793077,restoran,Rumah Makan
Bakmi Jogja,Jakarta,-6.296415,106.793281,restoran,Rumah Makan
Warung Mie Ayam,Jakarta,-6.130847,106.84166,restoran,Rumah Makan
Mulya Jaya,Jakarta,-6.129415,106.843087,restoran,Rumah Makan
